SessionID,Cluster,Steps,InitBKT,FinalBKT,GainBKT,TrueGain,Hints,Errors
sim_cluster_0_237_1766737391,Struggling_Persisting,5,0.2,0.9736111528641033,0.7736111528641032,0.0,0,2
sim_cluster_0_235_1766737388,Struggling_Persisting,10,0.2,0.9735144868320805,0.7735144868320805,0.0,0,7
sim_cluster_0_231_1766737385,Struggling_Persisting,10,0.2,0.17142857156855684,-0.02857142843144317,0.0,0,10
sim_cluster_0_228_1766737384,Struggling_Persisting,10,0.2,0.3195588181734688,0.1195588181734688,0.0,2,6
sim_cluster_0_223_1766737382,Struggling_Persisting,10,0.2,0.2762759593095312,0.07627595930953118,0.0,0,7
sim_cluster_0_229_1766737385,Struggling_Persisting,10,0.2,0.1900379171913347,-0.009962082808665312,0.0,0,7
sim_cluster_0_224_1766737382,Struggling_Persisting,10,0.2,0.17142857156855684,-0.02857142843144317,0.0,0,10
sim_cluster_0_232_1766737386,Struggling_Persisting,10,0.2,0.8735706785338468,0.6735706785338469,0.0,0,8
sim_cluster_0_222_1766737380,Struggling_Persisting,10,0.2,0.0,-0.2,0.0,0,8
sim_cluster_0_234_1766737388,Struggling_Persisting,10,0.2,0.0,-0.2,0.0,0,7
sim_cluster_0_233_1766737387,Struggling_Persisting,10,0.2,0.17374719095950417,-0.026252809040495845,0.0,0,9
sim_cluster_0_241_1766737392,Struggling_Persisting,10,0.2,0.17142966391812006,-0.02857033608187995,0.0,0,9
sim_cluster_0_240_1766737392,Struggling_Persisting,10,0.2,0.1714359710722583,-0.028564028927741708,0.0,0,9
sim_cluster_0_242_1766737393,Struggling_Persisting,10,0.1,0.17142975939911043,0.07142975939911042,0.0,1,8
